Ano,cod_ibge,Municipio,Furto de veículo 2014,Furto outros 2014,Homicídio culposo outros 2014,Homicídio culposo por acidente de trânsito 2014,Latrocínio 2014,Lesão corporal culposa outras 2014,Lesão corporal culposa por acidente de trânsito 2014,Lesão corporal dolosa 2014,Vítimas de homicídio 2014,Tentativa de homicídio 2014,Total de estupro 2014,Total de Roubo 2014,Indice Criminalidade 2014,Classificação 2014
2014,3538303,Piquerobi,1,14,0,0,0,0,6,15,0,0,2,0,0.1566363927214009,Muito Baixo
2014,3538501,Piquete,3,88,0,3,0,1,22,78,2,2,2,8,0.2398220503598467,Baixo
2014,3538600,Piracaia,12,248,0,6,0,0,68,142,1,3,9,56,0.2695106604865136,Baixo
2014,3538709,Piracicaba,1552,4297,2,54,4,10,2193,1498,35,58,34,1825,0.2581520365910534,Baixo
2014,3538808,Piraju,18,162,0,6,0,2,85,168,3,3,9,8,0.23884024120492695,Baixo
2014,3538907,Pirajui,4,114,0,3,0,1,52,132,2,0,9,7,0.22455937672435078,Baixo
2014,3539004,Pirangi,11,101,0,4,0,0,14,62,2,1,4,11,0.2858323063415817,Baixo
2014,3539103,Pirapora do Bom Jesus,9,121,0,1,0,0,21,44,6,2,2,12,0.13680014333965432,Muito Baixo
2014,3539202,Pirapozinho,8,83,0,8,1,1,97,154,1,3,2,4,0.23205174351039148,Baixo
2014,3539301,Pirassununga,117,773,0,5,0,1,372,302,3,7,13,95,0.2382329179528936,Baixo
2014,3539400,Piratininga,19,121,0,4,0,0,34,53,2,0,7,9,0.22464349340021245,Baixo
2014,3539509,Pitangueiras,36,348,0,4,0,1,85,202,3,9,12,21,0.27980543264593044,Baixo
2014,3539608,Planalto,9,48,0,3,0,0,15,47,0,3,3,1,0.4876284634505617,Médio
2014,3539707,Platina,0,20,0,0,0,0,7,13,0,0,0,0,0.16875029685911544,Muito Baixo
2014,3539806,Poa,298,902,1,3,1,5,175,443,6,9,37,864,0.22468042988688972,Baixo
2014,3539905,Poloni,4,22,0,1,0,3,7,19,0,1,4,5,0.1525226646254576,Muito Baixo
2014,3540002,Pompeia,13,214,0,5,1,0,47,98,0,0,4,8,0.25978329323750043,Baixo
2014,3540101,Pongai,1,14,0,1,0,0,5,12,0,0,2,0,0.1396842771338728,Muito Baixo
2014,3540200,Pontal,37,176,0,7,3,0,35,98,5,5,12,109,0.11542988478107538,Muito Baixo
2014,3540259,Pontalinda,2,22,0,1,0,3,10,42,0,0,2,4,0.40765320504695557,Médio
2014,3540309,Pontes Gestal,0,24,0,0,0,1,4,19,0,0,1,0,0.3326827318761011,Baixo
2014,3540408,Populina,0,34,0,0,0,1,8,17,0,1,1,0,0.1890455161288004,Muito Baixo
2014,3540507,Porangaba,1,54,0,9,0,0,34,31,0,0,4,11,0.18706385469326745,Muito Baixo
2014,3540606,Porto Feliz,77,476,0,10,2,0,164,148,6,7,14,108,0.18123710518977462,Muito Baixo
2014,3540705,Porto Ferreira,109,502,0,10,0,0,204,287,6,2,12,135,0.2813230914664332,Baixo
2014,3540754,Potim,5,74,0,2,0,1,14,78,10,6,8,25,0.14588972956309873,Muito Baixo
2014,3540804,Potirendaba,13,114,0,3,0,3,76,83,1,1,5,16,0.22832206854211617,Baixo
2014,3540853,Pracinha,0,4,0,0,0,0,3,13,0,1,0,1,0.14066513910417958,Muito Baixo
2014,3540903,Pradopolis,22,166,0,3,0,0,53,102,3,5,8,31,0.2835843398014886,Baixo
2014,3541000,Praia Grande,855,5179,1,30,6,8,1016,736,31,72,51,3917,0.26355803901704206,Baixo
2014,3541059,Pratania,7,22,0,0,0,1,9,21,2,1,0,2,0.1820822212542967,Muito Baixo
2014,3541109,Presidente Alves,1,16,0,0,0,0,4,26,0,0,2,0,0.2287290335595732,Baixo
2014,3541208,Presidente Bernardes,3,50,0,3,0,0,38,87,1,1,0,1,0.22820041379695793,Baixo
2014,3541307,Presidente Epitacio,38,449,0,5,0,1,235,246,0,4,18,19,0.2975593016438684,Baixo
2014,3541406,Presidente Prudente,203,2298,4,14,0,42,1954,1319,11,17,42,302,0.3032776589295022,Baixo
2014,3541505,Presidente Venceslau,18,299,0,6,0,3,226,277,1,5,18,7,0.3170301645112437,Baixo
2014,3541604,Promissao,38,600,0,12,0,3,99,207,2,3,10,57,0.36048751111510136,Baixo
2014,3541653,Quadra,1,21,0,2,0,0,7,9,0,0,0,5,0.15184536072967866,Muito Baixo
2014,3541703,Quata,1,83,0,2,0,1,25,74,0,0,3,4,0.2361379793911644,Baixo
2014,3541802,Queiroz,0,41,0,1,0,1,6,19,0,1,3,2,0.3499420350342245,Baixo
2014,3541901,Queluz,4,118,0,1,0,0,16,71,0,1,1,15,0.31553322517555554,Baixo
2014,3542008,Quintana,2,20,0,6,0,0,4,16,0,0,1,0,0.12792978527772247,Muito Baixo
2014,3542107,Rafard,6,47,0,4,0,2,18,24,1,0,4,2,0.1454382083191334,Muito Baixo
2014,3542206,Rancharia,19,335,1,9,0,0,137,357,0,5,4,22,0.5339701394714947,Médio
2014,3542305,Redencao da Serra,0,41,0,2,0,0,8,19,0,0,1,6,0.24594471786786998,Baixo
2014,3542404,Regente Feijo,9,96,0,2,0,0,73,139,3,3,1,5,0.27674536600407573,Baixo
2014,3542503,Reginopolis,0,10,0,1,0,1,8,25,1,0,2,1,0.10267755664372576,Muito Baixo
2014,3542602,Registro,56,581,0,7,0,3,288,293,6,3,30,59,0.2638274471228493,Baixo
2014,3542701,Restinga,1,108,0,2,0,30,16,13,0,2,0,5,0.32832950392032695,Baixo
2014,3542800,Ribeira,0,11,0,0,0,0,9,23,0,0,4,1,0.2399845836413804,Baixo
