Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
Jaú (SP),"0,778","0,768","0,886","0,693"
Jeriquara (SP),"0,703","0,68","0,814","0,628"
Joanópolis (SP),"0,699","0,707","0,824","0,585"
João Ramalho (SP),"0,741","0,701","0,818","0,71"
José Bonifácio (SP),"0,777","0,752","0,869","0,717"
Júlio Mesquita (SP),"0,716","0,659","0,813","0,686"
Jumirim (SP),"0,741","0,721","0,863","0,655"
Jundiaí (SP),"0,822","0,834","0,866","0,768"
Junqueirópolis (SP),"0,745","0,727","0,86","0,662"
Juquiá (SP),"0,7","0,654","0,823","0,637"
Juquitiba (SP),"0,709","0,68","0,791","0,662"
Lagoinha (SP),"0,693","0,686","0,797","0,609"
Laranjal Paulista (SP),"0,729","0,732","0,829","0,639"
Lavínia (SP),"0,721","0,698","0,82","0,655"
Lavrinhas (SP),"0,729","0,665","0,823","0,707"
Leme (SP),"0,744","0,729","0,851","0,665"
Lençóis Paulista (SP),"0,764","0,743","0,837","0,717"
Limeira (SP),"0,775","0,761","0,852","0,719"
Lindóia (SP),"0,742","0,722","0,864","0,654"
Lins (SP),"0,786","0,762","0,869","0,733"
Lorena (SP),"0,766","0,736","0,856","0,713"
Lourdes (SP),"0,742","0,697","0,816","0,717"
Louveira (SP),"0,777","0,783","0,861","0,697"
Lucélia (SP),"0,752","0,728","0,841","0,695"
Lucianópolis (SP),"0,733","0,736","0,809","0,662"
Luís Antônio (SP),"0,731","0,709","0,822","0,671"
Luiziânia (SP),"0,702","0,682","0,815","0,623"
Lupércio (SP),"0,724","0,679","0,83","0,674"
Lutécia (SP),"0,72","0,67","0,846","0,659"
Macatuba (SP),"0,77","0,763","0,859","0,697"
Macaubal (SP),"0,743","0,72","0,844","0,676"
Macedônia (SP),"0,74","0,705","0,852","0,675"
Magda (SP),"0,753","0,724","0,823","0,717"
Mairinque (SP),"0,743","0,721","0,831","0,684"
Mairiporã (SP),"0,788","0,767","0,881","0,723"
Manduri (SP),"0,739","0,73","0,818","0,675"
Marabá Paulista (SP),"0,677","0,65","0,809","0,591"
Maracaí (SP),"0,771","0,711","0,85","0,758"
Marapoama (SP),"0,752","0,736","0,852","0,679"
Mariápolis (SP),"0,718","0,684","0,83","0,651"
Marília (SP),"0,798","0,768","0,854","0,776"
Marinópolis (SP),"0,731","0,681","0,825","0,694"
Martinópolis (SP),"0,721","0,703","0,832","0,641"
Matão (SP),"0,773","0,766","0,847","0,713"
Mauá (SP),"0,766","0,721","0,852","0,733"
Mendonça (SP),"0,744","0,72","0,863","0,663"
Meridiano (SP),"0,731","0,717","0,817","0,667"
Mesópolis (SP),"0,724","0,674","0,847","0,666"
Miguelópolis (SP),"0,741","0,712","0,863","0,661"
Mineiros do Tietê (SP),"0,73","0,719","0,823","0,658"
Miracatu (SP),"0,697","0,645","0,803","0,655"
Mira Estrela (SP),"0,743","0,697","0,806","0,731"
Mirandópolis (SP),"0,751","0,732","0,869","0,665"
Mirante do Paranapanema (SP),"0,724","0,67","0,841","0,674"
Mirassolândia (SP),"0,738","0,704","0,829","0,69"
Mirassol (SP),"0,762","0,748","0,846","0,698"
Mococa (SP),"0,762","0,756","0,827","0,709"
Mogi das Cruzes (SP),"0,783","0,762","0,851","0,74"
Mogi Guaçu (SP),"0,774","0,74","0,852","0,736"
Mogi Mirim (SP),"0,784","0,767","0,879","0,715"
Mombuca (SP),"0,719","0,746","0,82","0,607"
Monções (SP),"0,772","0,731","0,814","0,773"
Mongaguá (SP),"0,754","0,719","0,854","0,699"
Monte Alegre do Sul (SP),"0,759","0,752","0,858","0,678"
Monte Alto (SP),"0,768","0,746","0,859","0,707"
Monte Aprazível (SP),"0,785","0,781","0,861","0,72"
Monte Azul Paulista (SP),"0,753","0,733","0,843","0,69"
Monte Castelo (SP),"0,741","0,706","0,814","0,709"
Monteiro Lobato (SP),"0,71","0,692","0,826","0,627"
Monte Mor (SP),"0,733","0,713","0,863","0,639"
Morro Agudo (SP),"0,712","0,716","0,836","0,604"
Morungaba (SP),"0,715","0,726","0,802","0,627"
Motuca (SP),"0,741","0,685","0,859","0,691"
Murutinga do Sul (SP),"0,726","0,703","0,847","0,643"
Nantes (SP),"0,714","0,655","0,79","0,702"
