Cod_ibge,Municipio,coord_centroide_x,coord_centroide_y
3504305,Avaí,-49.316,-22.187
3534104,Oriente,-50.094,-22.142
3501400,Álvaro de Carvalho,-49.734,-22.086
3525607,João Ramalho,-50.799,-22.277
3541703,Quatá,-50.645,-22.206
3502002,Analândia,-47.678,-22.121
3541109,Presidente Alves,-49.432,-22.122
3506805,Bocaina,-48.530,-22.105
3554755,Trabiju,-48.345,-22.032
3500303,Aguaí,-47.040,-22.050
3542008,Quintana,-50.369,-22.100
3501301,Álvares Machado,-51.515,-22.131
3542206,Rancharia,-50.929,-22.283
3528700,Marabá Paulista,-52.057,-22.127
3503406,Arealva,-48.981,-22.076
3505203,Bariri,-48.719,-22.066
3542909,Ribeirão Bonito,-48.185,-22.060
3525805,Júlio Mesquita,-49.793,-21.973
3522000,Itaju,-48.794,-21.952
3505807,Bastos,-50.744,-21.950
3529005,Marília,-49.983,-22.178
3500808,Alfredo Marcondes,-51.396,-21.935
3529203,Martinópolis,-51.123,-22.172
3541208,Presidente Bernardes,-51.620,-22.107
3539301,Pirassununga,-47.390,-21.996
3504701,Balbinos,-49.333,-21.893
3549102,São João da Boa Vista,-46.803,-21.978
3506706,Boa Esperança do Sul,-48.464,-21.935
3547700,Santo Anastácio,-51.723,-22.037
3508900,Caiabu,-51.224,-21.949
3519303,Ibaté,-48.027,-21.951
3540002,Pompéia,-50.188,-22.029
3500402,Águas da Prata,-46.692,-21.914
3519006,Herculândia,-50.373,-21.962
3555000,Tupã,-50.535,-21.947
3544707,Sagres,-50.990,-21.868
3540853,Pracinha,-51.075,-21.837
3518107,Guarantã,-49.588,-21.916
3517307,Guaimbê,-49.861,-21.879
3540705,Porto Ferreira,-47.447,-21.842
3556404,Vargem Grande do Sul,-46.899,-21.860
3519105,Iacanga,-49.040,-21.891
3546306,Santa Cruz das Palmeiras,-47.250,-21.855
3548302,Santo Expedito,-51.370,-21.825
3541406,Presidente Prudente,-51.343,-21.993
3532900,Nova Europa,-48.550,-21.774
3541802,Queiroz,-50.245,-21.800
3513702,Descalvado,-47.654,-21.881
3515129,Emilianópolis,-51.472,-21.801
3523800,Itobi,-46.922,-21.749
3528908,Mariápolis,-51.172,-21.779
3516853,Gavião Peixoto,-48.448,-21.791
3536000,Parapuã,-50.822,-21.853
3503356,Arco-Íris,-50.431,-21.766
3517000,Getulina,-50.028,-21.783
3501707,Américo Brasiliense,-48.032,-21.722
3543238,Ribeirão dos Índios,-51.583,-21.784
3538907,Pirajuí,-49.414,-21.957
3550803,São Sebastião da Grama,-46.753,-21.754
3555901,Uru,-49.297,-21.766
3519204,Iacri,-50.619,-21.800
3519600,Ibitinga,-48.848,-21.793
3542503,Reginópolis,-49.180,-21.882
3520806,Inúbia Paulista,-50.958,-21.739
3538303,Piquerobi,-51.732,-21.853
3515806,Flora Rica,-51.374,-21.699
3527702,Luiziânia,-50.351,-21.672
3552700,Tabatinga,-48.629,-21.712
3540101,Pongaí,-49.359,-21.730
3546900,Santa Lúcia,-48.058,-21.670
3548401,Santópolis do Aguapeí,-50.518,-21.660
3548906,São Carlos,-47.867,-21.919
3541505,Presidente Venceslau,-51.838,-21.793
3513900,Divinolândia,-46.698,-21.661
3510807,Casa Branca,-47.088,-21.800
3543808,Rinópolis,-50.717,-21.681
3547502,Santa Rita do Passa Quatro,-47.508,-21.682
3534609,Osvaldo Cruz,-50.874,-21.733
3509106,Caiuá,-51.986,-21.800
3503208,Araraquara,-48.181,-21.791
3501103,Alto Alegre,-50.192,-21.612
3508801,Cafelândia,-49.548,-21.731
3529302,Matão,-48.430,-21.610
3541307,Presidente Epitácio,-52.175,-21.911
3537701,Piacatu,-50.644,-21.571
3527108,Lins,-49.683,-21.649
3511904,Clementina,-50.460,-21.570
3545100,Salmourão,-50.876,-21.588
3549706,São José do Rio Pardo,-46.879,-21.604
3543709,Rincão,-48.032,-21.593
3514007,Dobrada,-48.357,-21.516
3507407,Borborema,-49.072,-21.610
3507704,Braúna,-50.339,-21.553
3516507,Gabriel Monteiro,-50.565,-21.499
3553302,Tambaú,-47.239,-21.601
3527405,Lucélia,-50.992,-21.644
3514403,Dracena,-51.584,-21.557
3508702,Caconde,-46.617,-21.540
3532058,Motuca,-48.170,-21.513
3500105,Adamantina,-51.057,-21.576
3547601,Santa Rosa de Viterbo,-47.366,-21.504
3534807,Ouro Verde,-51.738,-21.510
3546504,Santa Ernestina,-48.367,-21.452
3527603,Luís Antônio,-47.782,-21.552
3522703,Itápolis,-48.815,-21.548
3517208,Guaiçara,-49.764,-21.573
3553609,Tapiratiba,-46.742,-21.451
3516002,Flórida Paulista,-51.171,-21.540
3544608,Sabino,-49.578,-21.469
3550902,São Simão,-47.568,-21.461
3535408,Panorama,-51.856,-21.462
3504404,Avanhandava,-49.947,-21.460
3534906,Pacaembu,-51.274,-21.495
3553708,Taquaritinga,-48.538,-21.425
3518602,Guariba,-48.227,-21.395
3555109,Tupi Paulista,-51.587,-21.390
3506409,Bilac,-50.479,-21.427
3518859,Guatapará,-47.980,-21.453
3521606,Irapuru,-51.347,-21.485
3510104,Cândido Rodrigues,-48.629,-21.343
3533502,Novo Horizonte,-49.284,-21.469
3533106,Nova Guataporanga,-51.645,-21.323
3541604,Promissão,-49.871,-21.525
3530508,Mococa,-47.033,-21.449
3540903,Pradópolis,-48.086,-21.344
3521903,Itajobi,-49.054,-21.355
3544806,Sales,-49.503,-21.347
3505104,Barbosa,-49.922,-21.290
3547106,Santa Mercedes,-51.737,-21.316
3526001,Junqueirópolis,-51.435,-21.449
3515608,Fernando Prestes,-48.695,-21.310
3545605,Santa Adélia,-48.819,-21.317
3512506,Coroados,-50.304,-21.376
3546256,Santa Cruz da Esperança,-47.440,-21.274
3551405,Serra Azul,-47.550,-21.316
3544400,Rubiácea,-50.786,-21.361
3500204,Adolfo,-49.653,-21.288
3513108,Cravinhos,-47.745,-21.339
3537305,Penápolis,-50.096,-21.405
3510906,Cássia dos Coqueiros,-47.144,-21.263
3528858,Marapoama,-49.138,-21.254
3506201,Bento de Abreu,-50.862,-21.331
3514601,Dumont,-47.980,-21.247
3521507,Irapuã,-49.397,-21.267
3531308,Monte Alto,-48.533,-21.259
3505609,Barrinha,-48.095,-21.232
3549300,São João do Pau d'Alho,-51.673,-21.223
3551504,Serrana,-47.612,-21.217
3531605,Monte Castelo,-51.571,-21.255
3517109,Glicério,-50.199,-21.340
3556909,Vista Alegre do Alto,-48.649,-21.176
3529500,Mendonça,-49.570,-21.194
3555356,Ubarana,-49.748,-21.220
3556008,Urupês,-49.265,-21.205
3507753,Brejo Alegre,-50.210,-21.176
3503703,Ariranha,-48.779,-21.185
