,cod_ibge,Municipio,Ano,IPDM,Consumo anual de energia elétrica residencial,Consumo anual de energia elétrica comercial,Rendimento do trabalho formal,Produto Interno Bruto per capita,Indicador Riqueza,Taxas de mortalidade infantil,Taxas de mortalidade perinatal,Taxas de mortalidade 15 a 39 anos,Taxas de mortalidade 60 a 69 anos,Indicador Longevidade,Taxa de atendimento escolar na faixa etária de 0 a 3 anos,Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática,Proporção média de alunos do 9º ano com proficiência em Língua Portuguesa e Matemática,Taxas de distorção idade-série no Ensino Médio,Indicador Escolaridade
279,3504909,Bananal,2022,0.439,2.29289207765432,5.75790676088654,779.90468434497,22754.3877244008,0.276,7.97448165869218,11.1111111111111,1.71688556957679,17.6643768400393,0.706,20.1851851851852,37.355,21.36,25.0,0.335
280,3505005,Barão de Antonina,2014,0.403,1.43414634146341,3.86029411764706,609.329172920825,26941.4830818598,0.242,22.6537216828479,31.6455696202532,0.846023688663283,18.450184501845,0.506,26.3803680981595,48.7407407407376,25.4108391608441,9.67741935483871,0.462
281,3505005,Barão de Antonina,2016,0.408,1.37344720496894,3.43598615916955,638.789569857698,37657.7261045111,0.23,21.7391304347826,36.5853658536585,0.805152979066023,14.4444444444444,0.498,36.1963190184049,47.511719412619,27.7366071332787,7.80141843971631,0.495
282,3505005,Barão de Antonina,2018,0.482,1.87335834896811,3.86868686868687,702.496273326476,26941.4830818598,0.245,18.4049079754601,33.1325301204819,0.798722044728434,16.025641025641,0.535,49.4047619047619,83.6484593826191,30.636363636,4.7945205479452,0.666
283,3505005,Barão de Antonina,2020,0.441,1.9577344430516,4.00773648648649,592.559269653447,28643.1948098421,0.244,18.2370820668693,27.1084337349398,1.0482180293501,20.7715133531157,0.543,45.9302325581395,59.7461248747273,23.3352927067647,7.04225352112676,0.536
284,3505005,Barão de Antonina,2022,0.447,2.09870204363234,3.90359116874333,664.973640256959,22314.9092970521,0.243,15.1057401812689,23.9520958083832,1.54559505409583,24.2763772175537,0.541,31.6091954022989,47.145,40.59,4.46,0.558
285,3505104,Barbosa,2014,0.419,2.13933302878026,11.1942148760331,661.180631484601,22365.0518803403,0.294,11.3085621970921,14.4694533762058,1.8450184501845,16.9934640522876,0.658,43.5695538057743,22.6949773186846,11.3420226390173,18.859649122807,0.305
286,3505104,Barbosa,2016,0.463,1.91041666666667,9.56611570247934,567.809942557974,25709.3658927398,0.273,7.89889415481832,9.43396226415094,0.706464146944543,21.6216216216216,0.748,39.8457583547558,51.5268798503077,9.017897941875,22.7488151658768,0.368
287,3505104,Barbosa,2018,0.503,2.60270410816433,9.84033613445378,550.581290840712,22365.0518803403,0.293,7.73993808049536,12.2887864823349,0.702247191011236,25.776215582894,0.705,45.4773869346734,66.4350713220094,21.045696325266,16.1849710982659,0.512
288,3505104,Barbosa,2020,0.513,2.65988906990198,10.2101728395062,468.083377329537,23018.2145586712,0.29,9.67741935483871,12.8,0.69468565474123,21.2171970965941,0.715,43.6274509803922,74.4284408817777,20.4158556541333,15.6976744186046,0.534
289,3505104,Barbosa,2022,0.492,2.75347718095196,9.00960089686099,711.855652555385,20300.0354233085,0.304,12.0274914089347,13.6286201022147,1.49683362118595,18.957345971564,0.667,37.0731707317073,63.89,21.885,12.21,0.506
290,3505203,Bariri,2014,0.538,2.35866384915475,18.840782122905,1316.85107890217,58216.0366209315,0.397,15.224358974359,10.3420843277645,1.44129979035639,17.1105107423131,0.686,30.0323624595469,53.5463565865038,32.1143138252892,6.49789029535865,0.53
291,3505203,Bariri,2016,0.586,2.19775858043428,16.064148253742,1314.96563258546,77419.9447027886,0.394,10.6644790812141,9.8119378577269,0.812946167720956,13.1886087768441,0.769,47.324306898775,55.8704979280388,37.5689045971105,6.78260869565217,0.596
292,3505203,Bariri,2018,0.595,2.47438921651222,17.8440233236152,1295.30578720861,58216.0366209315,0.396,12.2249388753056,11.3452188006483,0.860999265618273,14.4144144144144,0.74,46.1242793081358,66.537297727339,43.8653959504661,10.0259291270527,0.648
293,3505203,Bariri,2020,0.599,2.51745526011787,19.9542226304188,1216.4699700014,56549.3606233576,0.399,12.5418060200669,10.8243130724396,1.03199174406605,15.6430446194226,0.727,49.2661135928526,77.1049770495651,40.124650382336,9.61945031712473,0.672
294,3505203,Bariri,2022,0.558,2.63827009645527,18.6857050796058,1529.60175341412,53966.2288336762,0.41,11.070110701107,14.6520146520147,1.31352935232899,18.6666666666667,0.676,49.645390070922,55.53,35.055,7.14,0.587
295,3505302,Barra Bonita,2014,0.529,2.4355851413782,14.9710843373494,1780.54908111253,61721.0584627021,0.41,11.9047619047619,18.1323662737987,1.42151548006264,16.5005156411138,0.651,43.7881873727088,59.6476084822193,24.9698899411622,10.4715672676838,0.527
296,3505302,Barra Bonita,2016,0.555,2.25539413075,14.0687830687831,1658.01412887506,71091.2377440924,0.398,12.5,10.3626943005181,1.35654533122315,16.8014934660859,0.708,43.53507565337,67.3272437762499,25.8440010906529,9.34230194319881,0.56
297,3505302,Barra Bonita,2018,0.573,2.49114195873917,14.2458563535912,1734.92057431045,61721.0584627021,0.404,12.4869927159209,10.3734439834025,1.330365594699,14.905962384954,0.719,43.4904996481351,70.4620070901043,30.5479074379167,9.09090909090909,0.595
298,3505302,Barra Bonita,2020,0.579,2.52387602687235,13.4894022403259,1576.60110130743,55284.8113186194,0.394,10.6951871657754,9.59488272921109,1.24853894378918,12.7667505358308,0.751,37.8066378066378,63.1030281053081,35.7616353675857,7.06051873198847,0.592
299,3505302,Barra Bonita,2022,0.548,2.50880242149912,14.8468046103183,1797.72814308187,46340.5333022822,0.397,9.68783638320775,14.9413020277481,1.49191877331123,16.9712793733681,0.682,47.6515151515151,58.16,27.58,4.74,0.565
300,3505351,Barra do Chapéu,2014,0.447,1.15079872204473,1.73967684021544,358.095403265957,24987.7686473695,0.154,14.5985401459854,12.7272727272727,1.55545185876497,11.4285714285714,0.697,23.9263803680982,67.630898513247,18.6672794117647,8.96057347670251,0.49
301,3505351,Barra do Chapéu,2016,0.449,1.14146341463415,1.78427787934186,340.965998988074,27178.7874479625,0.147,7.2992700729927,12.6811594202899,1.06205431649219,14.0721196130167,0.75,16.0,48.743017284,27.3681384806452,10.4234527687296,0.449
302,3505351,Barra do Chapéu,2018,0.473,1.51274131274131,1.75276752767528,422.525921398503,24987.7686473695,0.168,7.43494423791822,12.9151291512915,1.36612021857923,11.9047619047619,0.744,25.0,52.6230114687736,33.2429667524737,10.3139013452915,0.508
303,3505351,Barra do Chapéu,2020,0.47,1.70898044614863,2.01197966728281,396.739036799814,36530.425116645,0.194,7.19424460431655,10.7142857142857,1.50966183574879,15.0078988941548,0.738,27.027027027027,49.5110731242029,23.3251407159091,4.21940928270043,0.477
304,3505351,Barra do Chapéu,2022,0.466,1.6638160815108,2.15343023577785,373.640842285156,27122.0312801699,0.18,5.23560209424084,5.21739130434783,1.51377535573721,21.5293244246474,0.755,37.3493975903614,40.82,23.47,4.68,0.464
305,3505401,Barra do Turvo,2014,0.335,1.49886000911993,3.5131845841785,572.414523824217,19956.0724369263,0.201,16.9491525423729,18.1818181818182,2.33100233100233,12.987012987013,0.595,2.28690228690229,18.9742250763082,6.3910277927246,13.4366925064599,0.21
306,3505401,Barra do Turvo,2016,0.42,1.35784946236559,3.24408014571949,520.508302542012,18830.3586874275,0.187,6.44122383252818,12.7388535031847,1.70940170940171,6.8241469816273,0.761,2.08768267223382,35.4177716866346,20.1581000140729,18.3206106870229,0.313
307,3505401,Barra do Turvo,2018,0.414,2.04009034443817,3.37239165329053,556.35774998625,19956.0724369263,0.221,11.744966442953,14.9501661129568,1.93864750826776,8.81285640228097,0.692,1.22699386503067,46.1045056317021,16.3108476518966,18.3381088825215,0.328
308,3505401,Barra do Turvo,2020,0.409,2.08279575117807,3.38377419354839,460.164920676041,19936.6238777524,0.213,10.4347826086957,15.4905335628227,1.93269668030923,15.6565656565657,0.659,0.0,41.2893955433333,21.673756619913,13.1147540983607,0.356
309,3505401,Barra do Turvo,2022,0.415,2.21835834162795,3.11353309726204,587.699488646853,19202.2667829119,0.226,12.4333925399645,19.2644483362522,1.81159420289855,16.3690476190476,0.621,0.0,47.875,24.975,12.58,0.397
310,3505500,Barretos,2014,0.533,2.67863323822443,25.5914415491274,1476.78640451053,69914.5323420078,0.434,11.4739629302736,15.4987993887797,1.54838709677419,19.504326147529,0.651,48.2859226841721,55.5219694627999,22.29790361345,9.39553219448095,0.513
311,3505500,Barretos,2016,0.555,2.46808982288134,25.0077444336883,1428.78248019329,68550.2727206441,0.422,12.253829321663,15.1975683890578,1.49196990237639,19.1490073984801,0.653,53.1577978272878,69.7911887711454,26.4684130793871,9.08029878618114,0.591
312,3505500,Barretos,2018,0.581,2.81477893045348,28.6208682782437,1457.5617574124,69914.5323420078,0.443,13.8423755302523,15.3061224489796,1.5085242446552,18.615813712136,0.646,63.4669678147939,79.3377472308606,28.8868676951277,9.38967136150235,0.653
313,3505500,Barretos,2020,0.591,2.88633505785711,30.6471151736746,1390.44363253103,59337.4346883233,0.44,12.8234485917106,15.9127074335076,1.26445350757941,18.8621750921778,0.658,61.1528822055138,75.1472864779431,36.902168508582,9.1981699975921,0.674
314,3505500,Barretos,2022,0.577,2.82946300031429,32.1293099382369,1458.38179431267,50653.2391144514,0.436,10.2040816326531,14.3630798210502,1.57755701901254,21.3700990952176,0.655,65.1940298507463,65.47,35.045,9.71,0.64
315,3505609,Barrinha,2014,0.467,2.33488960217878,13.8187372708758,803.584309599517,27592.1062742476,0.326,10.6609808102345,15.5148095909732,1.22485975355822,17.9414542020774,0.68,16.265690376569,42.6891194267199,21.4267808288298,11.9451170298628,0.395
316,3505609,Barrinha,2016,0.493,2.17075608869502,12.7180616740088,725.47086101048,27966.9443867353,0.311,10.989010989011,10.9364319890636,1.20163422254266,19.3470374848851,0.706,23.8269030239833,55.9797231836467,24.0070304043493,12.8617363344051,0.463
317,3505609,Barrinha,2018,0.506,2.45417115969023,13.8561643835616,743.524493252526,27592.1062742476,0.326,11.7810117810118,11.026878015162,1.32198827035862,18.6666666666667,0.699,27.2012578616352,53.216895703171,28.4516374354316,9.74539069359087,0.493
318,3505609,Barrinha,2020,0.532,2.44617222929498,14.4304962962963,661.126610801964,24038.4136582058,0.316,14.2247510668563,14.8305084745763,1.24960949703218,18.5374149659864,0.66,30.1797040169133,65.3965496787999,43.8240630581031,8.34224598930481,0.62
319,3505609,Barrinha,2022,0.502,2.37895180794615,12.7246658097686,806.507967785341,20465.4462670742,0.311,7.32302685109845,12.9032258064516,1.28298232873396,17.9723502304147,0.716,30.2737520128824,45.655,33.075,14.39,0.48
320,3505708,Barueri,2014,0.607,2.83100170041738,92.8215229704217,8111.28265646563,327574.353772194,0.653,9.16891971317738,10.8575097775962,1.73948665272632,24.1818597909833,0.664,39.7562833206398,57.1474896653135,28.9403612390917,17.5507494883567,0.503
321,3505708,Barueri,2016,0.616,2.61051392347747,81.5650355972426,7212.86615760682,331652.031275462,0.626,9.83626222035626,11.1462120760565,1.77769519031249,23.4200980080188,0.66,40.5064621204161,62.1928844230843,37.2296598983183,17.9175197426148,0.561
322,3505708,Barueri,2018,0.649,2.66758485791962,76.0664868789545,6975.88238872301,327574.353772194,0.623,8.13348483942348,9.33801225242372,1.66661976367144,23.0857557261135,0.691,53.0589605635365,68.7218503837797,42.8707961459687,17.7712437518377,0.634
323,3505708,Barueri,2020,0.653,2.63240982164081,67.6750521908471,6828.79915754652,272149.86549891,0.607,8.83591294550199,10.6639957579685,1.59604181629559,24.9226288002913,0.671,57.6591472776662,72.8584648670071,46.9654737565346,16.7604973023692,0.681
324,3505708,Barueri,2022,0.629,2.62729061264631,71.3242075060882,6807.70395692457,192946.08276111,0.595,6.85966016362492,10.0675337668834,2.00072575345959,27.8096759698437,0.651,62.5997099347353,62.94,40.745,13.8,0.64
325,3505807,Bastos,2014,0.555,2.14949494949495,28.2056672760512,1425.4044883596,79611.5169585841,0.418,4.95049504950495,8.62068965517241,1.69592130925125,14.2250530785563,0.761,31.5134099616858,50.7157229463768,25.5172813593474,7.71028037383178,0.487
